station_name,station_geo,capacity,total_activity,count
Italie - Jardin Joan Miro,"48.81991,2.35929",26,9575.0,7866
Gare RER - Canadiens,"48.81995,2.46418",45,5072.0,7866
Roger Salengro - Général de Gaulle,"48.82003,2.48468",27,2932.0,7866
Place du Docteur Yersin,"48.82010,2.37256",50,6017.0,7866
Romain Rolland,"48.82022,2.32341",25,3980.0,7866
Place de Verdun,"48.82028,2.47377",40,2922.0,7866
Stade Georges Carpentier,"48.82048,2.36683",40,8927.0,7866
Hippodrome Paris-Vincennes,"48.82048,2.44627",42,2517.0,7866
Gouthière - Poterne des Peupliers,"48.82051,2.35134",33,5734.0,7866
Square du Carrefour de l'Insurrection,"48.82086,2.29111",23,5068.0,7866
Moulin de la Pointe,"48.82093,2.35632",22,4964.0,7866
David Weill - Parc Montsouris,"48.82109,2.33373",22,8415.0,7866
Pierre Joseph Desault,"48.82110,2.37878",19,6305.0,7866
Aristide Briand - Place de la Résistance,"48.82124,2.25110",25,7882.0,7866
Liard - Amiral Mouchez,"48.82142,2.34217",14,7887.0,7866
Jean Jaurès - Salvador Allende,"48.82148,2.30266",43,6916.0,7866
Place du Maréchal de Lattre de Tassigny,"48.82171,2.28534",27,7697.0,7866
Pierre Brossolette - Adolphe Pinard,"48.82177,2.31316",24,7927.0,7866
Porte d'Ivry,"48.82177,2.36887",50,8649.0,7866
Grande Rue - Europe,"48.82181,2.20588",25,2227.0,7866
Place Aristide Briand,"48.82189,2.41300",35,9303.0,7866
Choisy - Malmaisons,"48.82192,2.36335",25,9179.0,7866
Cimetière de Montrouge,"48.82201,2.32219",58,5329.0,7866
Jourdan - Monticelli,"48.82203,2.32910",30,8292.0,7866
Brillat-Savarin - Küss,"48.82220,2.35042",21,5830.0,7866
Verdun - Adrien Damalix,"48.82223,2.42153",26,7260.0,7866
Charles de Gaulle - Plateau de Vanves,"48.82233,2.29857",33,5211.0,7866
Le Brix et Mesmin - Jourdan,"48.82234,2.32786",21,5776.0,7866
Pyramide - Ecole du Breuil ,"48.82238,2.45869",34,2333.0,7866
Place de Rungis,"48.82246,2.34738",32,11699.0,7866
Quai Marcel Boyer - Victor Hugo,"48.82256,2.39204",29,11145.0,7866
Boutroux - Porte de Vitry,"48.82263,2.37774",49,5917.0,7866
Victor Cresson - Telles de la Poterie,"48.82270,2.26865",31,5940.0,7866
Porte d'Orléans,"48.82276,2.32493",48,11749.0,7866
 Jean Bleuzen - Square du 11 Novembre,"48.82326,2.29652",49,5481.0,7866
Ivry - Simone Weil,"48.82328,2.36591",18,5873.0,7866
Place Jean Delay,"48.82332,2.35434",35,8443.0,7866
Jean Monnet - Iles,"48.82339,2.24971",32,4830.0,7866
République - Louis Loucheur,"48.82355,2.51019",37,929.0,7866
Vistule - Choisy,"48.82366,2.36157",33,9788.0,7866
Adolphe Pinard - Victor Hugo,"48.82368,2.30778",52,5154.0,7866
Mairie d'Issy,"48.82377,2.27231",41,8803.0,7866
Place Jacques Madaule,"48.82393,2.26069",25,5346.0,7866
Maurice d'Ocagne - General Maudhuy,"48.82414,2.31588",30,5476.0,7866
Place de la Porte de Châtillon,"48.82425,2.31863",59,8499.0,7866
Pierre Lefaucheux - Traversière,"48.82435,2.24179",35,4889.0,7866
Hôtel de Ville,"48.82436,2.21310",32,3262.0,7866
Regnault - Patay,"48.82436,2.37707",63,9527.0,7866
Gravelle - Route du Bac,"48.82441,2.41845",51,5589.0,7866
Nationale - Marcel Duchamp,"48.82464,2.36780",23,6460.0,7866
Ivry - Baudricourt,"48.82470,2.36311",20,6365.0,7866
René Coty - Parc Montsouris,"48.82479,2.33612",55,8555.0,7866
Square Etienne Jarousse,"48.82485,2.29259",25,6704.0,7866
Bruneseau - Quai d'Ivry,"48.82495,2.38857",48,7302.0,7866
Sarrette - Général Leclerc,"48.82503,2.32641",22,8631.0,7866
Chemin de Bretagne,"48.82515,2.25936",29,4226.0,7866
Marc Sangnier - Porte de Vanves,"48.82522,2.31071",21,4796.0,7866
Place de l'Europe,"48.82530,2.39457",17,4525.0,7866
Marcel Yol - Jullien,"48.82538,2.28724",30,5473.0,7866
Dom-Pérignon - Gravelle,"48.82548,2.40988",50,6853.0,7866
Italie - Tolbiac,"48.82557,2.35762",21,10531.0,7866
Bobillot - Tolbiac,"48.82560,2.35020",33,11718.0,7866
