station_name,station_geo,capacity,total_activity,count,nearest_station,dateOuverture
Camille Groult - Guy Môquet,"48.78748,2.39767",22,3934.0,7866,"{'code': 44007, 'codeStr': 44007, 'name': 'Camille Groult-Guy Môquet', 'dateOuverture': '2018-12-10', 'state': 'Operative', 'nbBike': 12, 'nbEbike': 7, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 1, 'nbEDock': 0, 'latitude': '48.78748274652131', 'longitude': '2.39767257124186', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78748274652131,2.39767257124186'}",2018-12-10
Tertres - Fontaine,"48.78755,2.30624",28,1540.0,7866,"{'code': 22203, 'codeStr': 22203, 'name': 'Tertres-Fontaine', 'dateOuverture': '2018-12-05', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 28, 'nbEDock': 0, 'latitude': '48.78751450000000', 'longitude': '2.30621290000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78751450000000,2.30621290000000'}",2018-12-05
Maxime Gorki - Louis Aragon,"48.78910,2.36839",20,4947.0,7866,"{'code': 48004, 'codeStr': 48004, 'name': 'Maxime Gorki - Louis Aragon', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 11, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 9, 'nbEDock': 0, 'latitude': '48.78850200000000', 'longitude': '2.37127900000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78850200000000,2.37127900000000'}",2019-03-28
Place de l'Europe,"48.78914,2.42848",24,2339.0,7866,"{'code': 41405, 'codeStr': 41405, 'name': ""Place de l'Europe"", 'dateOuverture': '2018-12-27', 'state': 'Operative', 'nbBike': 15, 'nbEbike': 7, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 2, 'nbEDock': 0, 'latitude': '48.78918600000000', 'longitude': '2.42838400000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78918600000000,2.42838400000000'}",2018-12-27
Rond-point du Dr Albert Schweitzer,"48.78981,2.31439",22,2579.0,7866,"{'code': 22207, 'codeStr': 22207, 'name': 'Rond-point du Dr Albert Schweitzer', 'dateOuverture': '2019-03-25', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 21, 'nbEDock': 0, 'latitude': '48.78857100000000', 'longitude': '2.31711000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78857100000000,2.31711000000000'}",2019-03-25
Gabriel Péri - Danielle Casanova,"48.79011,2.40258",20,3486.0,7866,"{'code': 44003, 'codeStr': 44003, 'name': 'Gabriel Péri-Danielle Casanova', 'dateOuverture': '2018-12-10', 'state': 'Operative', 'nbBike': 14, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 1, 'nbEDock': 0, 'latitude': '48.79011400000000', 'longitude': '2.40257770000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79011400000000,2.40257770000000'}",2018-12-10
Liberté - Vert-de-Maisons,"48.79015,2.43286",20,2118.0,7866,"{'code': 47007, 'codeStr': 47007, 'name': 'Liberté - Vert-de-Maisons', 'dateOuverture': '2019-02-20', 'state': 'Operative', 'nbBike': 14, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 5, 'nbEDock': 0, 'latitude': '48.79016980000000', 'longitude': '2.43300730000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79016980000000,2.43300730000000'}",2019-02-20
Place Saint-Just,"48.79038,2.38952",22,7038.0,7866,"{'code': 44005, 'codeStr': 44005, 'name': 'Place Saint-Just', 'dateOuverture': '2019-03-08', 'state': 'Operative', 'nbBike': 8, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 13, 'nbEDock': 0, 'latitude': '48.79055200000000', 'longitude': '2.39062200000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79055200000000,2.39062200000000'}",2019-03-08
Hôtel de Ville de Fontenay-aux-Roses,"48.79084,2.28715",34,2362.0,7866,"{'code': 22604, 'codeStr': 22604, 'name': 'Hôtel de Ville', 'dateOuverture': '2018-07-06', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 12, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 19, 'nbEDock': 0, 'latitude': '48.79072760000000', 'longitude': '2.28712220000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79072760000000,2.28712220000000'}",2018-07-06
Marx Dormoy - Château Sainte-Barbe,"48.79178,2.29786",22,1499.0,7866,"{'code': 22601, 'codeStr': 22601, 'name': 'Marx Dormoy - Château Sainte-Barbe', 'dateOuverture': '2019-02-19', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 19, 'nbEDock': 0, 'latitude': '48.79056400000000', 'longitude': '2.29830700000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79056400000000,2.29830700000000'}",2019-02-19
Place de l'Eglise,"48.79192,2.39506",28,6810.0,7866,"{'code': 35008, 'codeStr': 35008, 'name': ""Place de l'Eglise"", 'dateOuverture': '2018-03-22', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 28, 'nbEDock': 0, 'latitude': '48.89271966633131', 'longitude': '2.41252957147218', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.89271966633131,2.41252957147218'}",2018-03-22
Eugène Varlin - Place de la Paix,"48.79286,2.36309",23,3464.0,7866,"{'code': 48005, 'codeStr': 48005, 'name': 'Eugène Varlin - Place de la Paix', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 6, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 16, 'nbEDock': 0, 'latitude': '48.79286200000000', 'longitude': '2.36309300000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79286200000000,2.36309300000000'}",2019-03-28
Parc Départemental des Hautes-Bruyères,"48.79346,2.35090",30,4476.0,7866,,
Place de la Division Leclerc,"48.79382,2.27311",35,1859.0,7866,"{'code': 22603, 'codeStr': 22603, 'name': 'T6 - CEA – IRSN ', 'dateOuverture': '2019-02-19', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 32, 'nbEDock': 0, 'latitude': '48.79433010000000', 'longitude': '2.27321610000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79433010000000,2.27321610000000'}",2019-02-19
Place Eustache Deschamps,"48.79386,2.33664",20,3540.0,7866,"{'code': 42303, 'codeStr': 42303, 'name': 'Place Eustache Deschamps', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 13, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 5, 'nbEDock': 0, 'latitude': '48.79385500000000', 'longitude': '2.33663700000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79385500000000,2.33663700000000'}",2019-03-28
Aristide Briand - Gare de Bagneux,"48.79387,2.32115",22,4158.0,7866,"{'code': 42302, 'codeStr': 42302, 'name': 'Aristide Briand - Gare de Bagneux', 'dateOuverture': '2018-12-18', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 14, 'nbEDock': 0, 'latitude': '48.79399925490134', 'longitude': '2.32111394405365', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79399925490134,2.32111394405365'}",2018-12-18
Génie - Mozart,"48.79490,2.37342",19,3216.0,7866,"{'code': 44012, 'codeStr': 44012, 'name': 'Génie - Mozart', 'dateOuverture': '2019-05-07', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 16, 'nbEDock': 0, 'latitude': '48.79490238121890', 'longitude': '2.37341836094856', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79490238121890,2.37341836094856'}",2019-05-07
Guy Môquet - Parvis Georges Marchais,"48.79519,2.35943",30,2811.0,7866,"{'code': 48008, 'codeStr': 48008, 'name': 'Guy Môquet  Parvis Georges Marchais', 'dateOuverture': '2019-07-25', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 19, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 10, 'nbEDock': 0, 'latitude': '48.79516460000000', 'longitude': '2.35949980000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79516460000000,2.35949980000000'}",2019-07-25
Carnot - Pâquerettes,"48.79593,2.42618",26,2990.0,7866,"{'code': 41404, 'codeStr': 41404, 'name': 'Carnot - Pâquerettes', 'dateOuverture': '2018-12-17', 'state': 'Operative', 'nbBike': 20, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 1, 'nbEDock': 0, 'latitude': '48.79597113699384', 'longitude': '2.42651503533125', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79597113699384,2.42651503533125'}",2018-12-17
